Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001,50001,60001,70001,80001,90001,100001,110001,120001,130001,140001,150001,160001,170001,180001,190001,200001,210001,220001,230001,240001,250001
3121.5289069618916,33511.36745888136,34832.83181474183,33120.775395902616,34735.26369965796,35351.556245839485,33339.49532544811,34051.90736922138,34818.94545537349,34708.35185208499,34202.45253613911,32803.03146156265,32659.702189662406,33895.102588881455,33774.41791363303,33184.94528284622,32980.64567312793,33479.78073490792,33701.78591839236,32881.976602963965,33364.825608093575,34697.788605205984,33164.49469355465,34842.880153345155,32399.80530091825,35105.22486295742
3012.1602211253758,33492.2556654999,32801.2088974331,35485.72039982746,34706.85364810393,33633.11605290961,33263.038123840364,33392.38010139751,34840.8824665675,33695.57219801622,32816.43051882851,33297.42079546695,34540.889212962975,32639.57144808774,33380.047432790474,31766.03715953718,34687.309330615324,32314.44465524507,32516.143788141355,33686.169297743756,33116.60915692451,32129.964335612978,33786.277140141836,32482.781234498903,32346.604406163042,31671.32459300049
3108.8619657982936,34747.28533687651,36133.714764207034,34339.33350010153,32580.47749900623,34564.530651382076,34822.04157293897,32917.9534636817,31486.909542548412,32931.07812262984,33577.692421875945,34553.714046169436,34628.29127846493,34444.557824227915,34165.89332781001,33201.424636329044,31976.60260879229,32362.151437242737,33828.22240403108,34433.9057806935,32058.27507025287,33601.58238659281,32801.76543934506,32016.83978582883,33416.18529258559,32637.23988982482
3095.225918601899,33853.803672651535,34245.464405622704,33840.44079180768,33120.95809839534,33890.255029878776,34058.18126199681,34622.464504785625,33193.40735795231,31674.268346699268,33007.597102345455,33398.88541109957,32640.904635903044,32343.707021900464,33558.32805120516,32944.06495050579,33334.94469801589,32834.485143244754,33568.94252951207,34207.87675216933,32631.141458051927,34002.352298915495,33917.65052768088,32489.738759124994,30593.584257148144,32982.88598501872
2948.6112714877704,34296.39541979031,33879.97410462283,34151.21583184447,34075.081657179726,32460.11786075634,33521.46101430844,33124.430483880344,32470.361855740295,31756.421663801466,32695.694762330626,35568.25472735061,33081.24978179489,34421.3068588676,32777.03021668062,33600.29589677181,35337.015942280384,31550.991354964266,33661.620978071245,32968.260056900835,33329.02646241364,33251.31496520778,32245.092253993163,34048.924859327264,32168.551171047427,32045.78731358624
2921.2366474938094,34801.86695996207,34524.842830278525,34223.33708230966,36252.00377889507,35538.19824758673,33873.13399105087,33591.81329991034,32924.53661316502,32971.7729842018,32113.369911422968,33473.159485283424,33882.44832673904,33825.67571526025,33741.29735672458,33878.377492850566,32095.094065044657,34086.67667367611,35416.7542478795,33532.660229938214,33191.014594159904,33821.725634232804,33949.18606751842,35635.90499597572,33892.33780223527,34117.124699702574
2947.592001445565,34247.88198820838,34789.247149019284,35332.77620540109,33483.08611058388,31918.448290375305,33566.85163839507,34029.57952479223,33979.708968069186,35027.78446220098,34384.53126843157,33544.43138175768,34223.9054042687,32267.055706697243,33424.03948709155,31346.76755727573,33633.99825572371,33379.91110073103,34618.1256569591,35812.78283469809,34261.68880791721,32829.55445518553,31862.25855709572,32938.9371236043,34228.71310768506,34200.18648102498
2883.65356387541,33568.52781648803,34571.66047054528,33340.871428768696,32814.52022587278,34221.37143270982,34170.89090302567,32970.44454650271,35036.463844946236,34959.04875843799,33305.755647502425,33919.35572346037,36350.96588343127,33204.72248802896,33439.923187832566,32728.54580020287,32770.15207419056,33792.03399691734,34020.731695904215,33517.08299945016,33671.31507367937,31692.308530316805,34840.22832657783,32611.386633813956,33243.42554399998,34159.84653030198
2979.3317014218933,34050.425413599856,32719.30341416467,33776.194073588325,35077.07016795818,34748.41477061507,33282.708233856836,34404.23485626891,33434.812324618506,33606.79870057793,31529.93981537512,34532.33361050878,34510.17489765898,33680.181721540204,33769.957622730675,33771.00271871317,32702.318057844557,34585.38049937989,34925.523997073135,33886.20370014748,34071.09681131038,32832.43437392385,33398.86986823455,32042.830612278944,33889.40288626285,32552.572421693396
3201.1790408660704,33422.11375705717,32099.9526140235,34058.418864452826,33914.94593876428,33521.85709586405,33660.468807805024,34136.049746129014,34718.818513752776,34285.38548492246,34374.471984771415,34682.83318781259,34346.574034169644,33058.57407685961,32980.132254789656,35622.63611641119,34353.565961267144,32962.816955761395,33981.685601079014,34211.664907312275,34038.768989713244,35778.891330105056,33648.04165089518,32951.026324642764,31502.225461243917,32760.216224695152
3169.7510472181543,35739.13092504169,34079.42567787997,33656.116153558,32076.07270874811,35166.187378117706,33520.874820596575,32847.07196972959,33374.352911302194,35351.470036513754,34013.44638258986,34411.21555442404,33534.857060115835,34043.29466573369,33343.738165614115,34386.89359092593,35291.28578678979,34393.298772669266,33190.83349683789,32787.90875475492,34250.54568180589,34258.732933057014,34210.04095537165,33673.0813996154,33154.333894973715,32823.26944926829
